scheme,k_over_m,vertical_wavelength_m,PPWz,dz_m,relative_frequency_error_pct,observed_order_last_four_resolutions
"Non-staggered, fourth order",2.0,2000.0,6.0,333.3333333333333,0.69836441516132,3.918487264281781
"Non-staggered, fourth order",2.0,2000.0,8.0,250.0,0.23513462665795604,3.918487264281781
"Non-staggered, fourth order",2.0,2000.0,10.0,200.0,0.0990318668818631,3.918487264281781
"Non-staggered, fourth order",2.0,2000.0,12.0,166.66666666666666,0.0484744818340499,3.918487264281781
"Non-staggered, fourth order",2.0,2000.0,16.0,125.0,0.01556345874244202,3.918487264281781
"Compact Pade, fourth order",2.0,2000.0,4.0,500.0,0.8929120409052329,4.077561186419221
"Compact Pade, fourth order",2.0,2000.0,5.0,400.0,0.3326612233513663,4.077561186419221
"Compact Pade, fourth order",2.0,2000.0,6.0,333.3333333333333,0.1519264747573734,4.077561186419221
"Compact Pade, fourth order",2.0,2000.0,8.0,250.0,0.045473085500691394,4.077561186419221
"Compact Pade, fourth order",2.0,2000.0,10.0,200.0,0.018146418707933817,4.077561186419221
"Compact Pade, fourth order",2.0,2000.0,12.0,166.66666666666666,0.008627428085639904,4.077561186419221
"Compact Pade, fourth order",2.0,2000.0,16.0,125.0,0.002691264827612966,4.077561186419221
"Staggered Lorenz, second order",2.0,2000.0,4.0,500.0,1.9498889004163091,1.9861529828468338
"Staggered Lorenz, second order",2.0,2000.0,5.0,400.0,1.2724804716359106,1.9861529828468338
"Staggered Lorenz, second order",2.0,2000.0,6.0,333.3333333333333,0.892912040905249,1.9861529828468338
"Staggered Lorenz, second order",2.0,2000.0,8.0,250.0,0.5074241885795046,1.9861529828468338
"Staggered Lorenz, second order",2.0,2000.0,10.0,200.0,0.3262778470462688,1.9861529828468338
"Staggered Lorenz, second order",2.0,2000.0,12.0,166.66666666666666,0.2271571077080339,1.9861529828468338
"Staggered Lorenz, second order",2.0,2000.0,16.0,125.0,0.12809740680129153,1.9861529828468338
