chi,U_m_s,PPWz,esquema,regime_analitico,k_m-1,m_m-1,k_sobre_m,lambda_z_m,dz_m,omega_intrinseca_analitica_s-1,omega_intrinseca_numerica_s-1,omega_observada_analitica_s-1,omega_observada_numerica_s-1,erro_rel_intrinseca_pct,residuo_omega_observada_sobre_N_pct
0.4,15.0,6,"Compacto (Pade), 4a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1428.23275176512,0.0048000000000000004,0.004830853674396483,0.0,-3.085367439648219e-05,0.6427848832600457,0.25711395330401826
0.4,15.0,6,"Alternada (Lorenz), 2a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1428.23275176512,0.0048000000000000004,0.0049881387266465845,0.0,-0.00018813872664658407,3.9195568051371676,1.5678227220548673
0.4,15.0,8,"Nao-alternada, 2a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1071.17456382384,0.0048000000000000004,0.0052344933315764015,0.0,-0.0004344933315764011,9.051944407841688,3.6207777631366755
0.4,15.0,8,"Nao-alternada, 4a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1071.17456382384,0.0048000000000000004,0.004847945384816632,0.0,-4.7945384816631444e-05,0.9988621836798217,0.3995448734719287
0.4,15.0,8,"Compacto (Pade), 4a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1071.17456382384,0.0048000000000000004,0.004809187435440225,0.0,-9.187435440224587e-06,0.19140490500467885,0.07656196200187156
0.4,15.0,8,"Alternada (Lorenz), 2a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1071.17456382384,0.0048000000000000004,0.004904862177851276,0.0,-0.00010486217785127521,2.1846287052349,0.87385148209396
0.6,15.0,4,"Nao-alternada, 2a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,2454.3692606170257,0.0072,0.00914856811040939,0.0,-0.0019485681104093894,27.063445977908184,16.23806758674491
0.6,15.0,4,"Nao-alternada, 4a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,2454.3692606170257,0.0072,0.007945626252401103,0.0,-0.0007456262524011027,10.35592017223754,6.213552103342523
0.6,15.0,4,"Compacto (Pade), 4a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,2454.3692606170257,0.0072,0.007412013898066273,0.0,-0.00021201389806627287,2.944637473142679,1.7667824838856074
0.6,15.0,4,"Alternada (Lorenz), 2a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,2454.3692606170257,0.0072,0.007680619563840241,0.0,-0.00048061956384024083,6.675271720003345,4.005163032002007
0.6,15.0,6,"Nao-alternada, 2a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,1636.2461737446838,0.0072,0.008061403418014724,0.0,-0.0008614034180147237,11.963936361315607,7.178361816789364
0.6,15.0,6,"Nao-alternada, 4a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,1636.2461737446838,0.0072,0.007364718072077828,0.0,-0.0001647180720778284,2.28775100108095,1.3726506006485701
0.6,15.0,6,"Compacto (Pade), 4a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,1636.2461737446838,0.0072,0.007235180427581414,0.0,-3.518042758141396e-05,0.4886170497418606,0.2931702298451163
0.6,15.0,6,"Alternada (Lorenz), 2a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,1636.2461737446838,0.0072,0.007412013898066273,0.0,-0.00021201389806627287,2.944637473142679,1.7667824838856074
0.6,15.0,8,"Nao-alternada, 2a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,1227.1846303085129,0.0072,0.007680619563840241,0.0,-0.00048061956384024083,6.675271720003345,4.005163032002007
0.6,15.0,8,"Nao-alternada, 4a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,1227.1846303085129,0.0072,0.007254599379256949,0.0,-5.4599379256949424e-05,0.7583247119020754,0.45499482714124523
0.6,15.0,8,"Compacto (Pade), 4a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,1227.1846303085129,0.0072,0.0072104927494596495,0.0,-1.0492749459649689e-05,0.14573263138402348,0.08743957883041407
0.6,15.0,8,"Alternada (Lorenz), 2a ordem",propagante,0.00048,0.00064,0.75,9817.477042468103,1227.1846303085129,0.0072,0.007318908803796817,0.0,-0.00011890880379681733,1.6515111638446853,0.9909066983068111
0.75,15.0,4,"Nao-alternada, 2a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,2968.5260293093143,0.009000000000000001,0.010463616228755997,0.0,-0.001463616228755996,16.262402541733287,12.196801906299966
