chi,wind_m_s,PPWz,scheme,k_m-1,m_m-1,k_over_m,vertical_wavelength_m,dz_m,analytical_intrinsic_frequency_s-1,numerical_intrinsic_frequency_s-1,relative_intrinsic_frequency_error_pct,stationarity_residual_over_N_pct
0.6,15.0,8,"Non-staggered, second order",0.00048,0.00064,0.75,9817.477042468103,1227.1846303085129,0.0072,0.007680619563840241,6.6752717200033445,4.005163032002007
0.6,15.0,8,"Non-staggered, fourth order",0.00048,0.00064,0.75,9817.477042468103,1227.1846303085129,0.0072,0.007254599379256949,0.7583247119020754,0.4549948271412452
0.6,15.0,8,"Compact Pade, fourth order",0.00048,0.00064,0.75,9817.477042468103,1227.1846303085129,0.0072,0.0072104927494596495,0.14573263138402345,0.08743957883041407
0.6,15.0,8,"Staggered Lorenz, second order",0.00048,0.00064,0.75,9817.477042468103,1227.1846303085129,0.0072,0.007318908803796817,1.6515111638446853,0.9909066983068111
0.75,15.0,4,"Non-staggered, second order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,2968.5260293093143,0.009000000000000001,0.010463616228755997,16.262402541733287,12.196801906299966
0.75,15.0,4,"Non-staggered, fourth order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,2968.5260293093143,0.009000000000000001,0.009606477081113826,6.738634234598056,5.053975675948542
0.75,15.0,4,"Compact Pade, fourth order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,2968.5260293093143,0.009000000000000001,0.009178647039193166,1.984967102146276,1.4887253266097071
0.75,15.0,4,"Staggered Lorenz, second order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,2968.5260293093143,0.009000000000000001,0.009397848646316235,4.420540514624824,3.315405385968618
0.75,15.0,6,"Non-staggered, second order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1979.0173528728762,0.009000000000000001,0.009695292247700204,7.725469418891137,5.794102064168354
0.75,15.0,6,"Non-staggered, fourth order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1979.0173528728762,0.009000000000000001,0.009139228919686413,1.546987996515689,1.160240997386767
0.75,15.0,6,"Compact Pade, fourth order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1979.0173528728762,0.009000000000000001,0.009029991753719447,0.3332417079938475,0.24993128099538564
0.75,15.0,6,"Staggered Lorenz, second order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1979.0173528728762,0.009000000000000001,0.009178647039193166,1.984967102146276,1.4887253266097071
0.75,15.0,8,"Non-staggered, second order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1484.2630146546571,0.009000000000000001,0.009397848646316235,4.420540514624824,3.315405385968618
0.75,15.0,8,"Non-staggered, fourth order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1484.2630146546571,0.009000000000000001,0.009046487076888734,0.5165230765414754,0.38739230740610664
0.75,15.0,8,"Compact Pade, fourth order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1484.2630146546571,0.009000000000000001,0.00900895977278234,0.09955303091488012,0.0746647731861601
